title,qualifies_wg,disqualification_reason,wg_needs_to_read,relevant_references,notes,author,publication,doi,year,search_venue,institution_lead_author,country_of_study,spatial_scale,time_range,bio_recs_data_analyzed,methods_development,methods_analysis,individual_sp_analysis,community_analysis,compiled_individual_sp_analysis,alien_sp_focus,distribution_change_based_on_specimen_reexamination,testing_spat_bias_correction,(testing other data quality correction),sp_richness,diversity,distribution,phenology,testing_macro_theory,order,taxon,entire_taxon_group,subset_justified,spatial_bias_addressed,spat_bias_correction_method,observer_variability_addressed,data_source,data_tp_what_where_when,data_tp_detection_non_detection,data_tp_known_effort,data_tp_semi_structured,data_tp_museum,data_tp_photo,data_tp_audio,data_tp_video,results_tp_hypothesis_testing,results_tp_prediction,results_tp_descriptive,(prediction performance meausure),(analysis method),multiple_datasets_integrated_for_analysis,(predictor variables),(summary stats),sample_size,voucher_necessary_for_analysis,volume,issue
Local frequency as a key to interpreting species occurrence data when recording effort is not known,TRUE,NA,NA,NA,NA,"Hill, Mark O.",METHODS IN ECOLOGY AND EVOLUTION,10.1111/j.2041-210X.2011.00146.x,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
"The first cuckoo in winter: Phenology, recording, credibility and meaning in Britain",FALSE,use bio recs data.  Rather uses interviews for a sociological study.,NA,NA,NA,"Lawrence, Anna",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,10.1016/j.gloenvcha.2009.01.006,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2
Developing and enhancing biodiversity monitoring programmes: a collaborative assessment of priorities,FALSE,Does not use bio recs data.  This solicits expert opinion about important aspects when designing a monitoring scheme.,TRUE,NA,NA,"Pocock, Michael J. O.; Newson, Stuart E.; Henderson, Ian G.; Peyton, Jodey; Sutherland, William J.; Noble, David G.; Ball, Stuart G.; Beckmann, Bjoern C.; Biggs, Jeremy; Brereton, Tom; Bullock, David J.; Buckland, Stephen T.; Edwards, Mike; Eaton, Mark A.; Harvey, Martin C.; Hill, Mark O.; Horlock, Martin; Hubble, David S.; Julian, Angela M.; Mackey, Edward C.; Mann, Darren J.; Marshall, Matthew J.; Medlock, Jolyon M.; O'Mahony, Elaine M.; Pacheco, Marina; Porter, Keith; Prentice, Steve; Procter, Deborah A.; Roy, Helen E.; Southway, Sue E.; Shortall, Chris R.; Stewart, Alan J. A.; Wembridge, David E.; Wright, Mark A.; Roy, David B.",JOURNAL OF APPLIED ECOLOGY,10.1111/1365-2664.12423,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,3
The role of automated feedback in training and retaining biological recorders for citizen science,FALSE,Does not use bio recs data.  Tests effectiveness of feedback mechanisms in reporting platform,NA,NA,NA,"van der Wal, Rene; Sharma, Nirwan; Mellish, Chris; Robinson, Annie; Siddharthan, Advaith",CONSERVATION BIOLOGY,10.1111/cobi.12705,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,3
The use of opportunistic data for IUCN Red List assessments,FALSE,Does not analyze bio recs data.  Looks at criteria used for IUCN red lists.,TRUE,TRUE,NA,"Maes, Dirk; Isaac, Nick J. B.; Harrower, Colin A.; Collen, Ben; Van Strien, Arco J.; Roy, David B.",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12530,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
The utility of distribution data in predicting phenology,TRUE,NA,TRUE,NA,NA,"Bishop, Tom R.; Botham, Marc S.; Fox, Richard; Leather, Simon R.; Chapman, Daniel S.; Oliver, Tom H.",METHODS IN ECOLOGY AND EVOLUTION,10.1111/2041-210X.12112,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11
Developing a biodiversity-based indicator for large-scale environmental assessment: a case study of proposed shale gas extraction sites in Britain,TRUE,NA,NA,NA,NA,"Dyer, Robert James; Gillings, Simon; Pywell, Richard F.; Fox, Richard; Roy, David B.; Oliver, Tom H.",JOURNAL OF APPLIED ECOLOGY,10.1111/1365-2664.12784,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,3
The application of biogeographical zonation and biodiversity assessment to the conservation of freshwater habitats in Great Britain,TRUE,NA,NA,NA,NA,"Palmer, MA",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,10.1002/(SICI)1099-0755(199903/04)9:2<179::AID-AQC343>3.0.CO;2-O,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2
Pathways through the Landscape in a Changing Climate: The Role of Landscape Structure in Facilitating Species Range Expansion through an Urbanised Region,TRUE,NA,NA,NA,NA,"Gilchrist, Anna; Barker, Adam; Handley, John F.",LANDSCAPE RESEARCH,10.1080/01426397.2015.1045466,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1
A Y-chromosome signature of hegemony in Gaelic Ireland,FALSE,genetics study,NA,NA,NA,"Moore, LT; McEvoy, B; Cape, E; Simms, K; Bradley, DG",AMERICAN JOURNAL OF HUMAN GENETICS,10.1086/500055,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,2
Focal Plant Observations as a Standardised Method for Pollinator Monitoring: Opportunities and Limitations for Mass Participation Citizen Science,TRUE,NA,NA,NA,NA,"Roy, Helen E.; Baxter, Elizabeth; Saunders, Aoine; Pocock, Michael J. O.",PLOS ONE,10.1371/journal.pone.0150794,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3
A method for estimating the extent of standing fresh waters of different trophic states in Great Britain,TRUE,NA,NA,NA,NA,"Palmer, MA; Roy, DB",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,10.1002/aqc.439,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3
Plant hybrids in the wild: evidence from biological recording,TRUE,NA,NA,NA,NA,"Preston, Christopher D.; Pearman, David A.",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12577,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
Integrating species and habitat data for nature conservation in Great Britain: data sources and methods,TRUE,NA,NA,NA,"Only uses bio recs data for illustrative examples.  So it is descriptive, but producing results is not the aim of the paper.","Griffiths, GH; Eversham, BC; Roy, DB",GLOBAL ECOLOGY AND BIOGEOGRAPHY,10.1046/j.1365-2699.1999.00143.x,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5
The role of sustained observations in tracking impacts of environmental change on marine biodiversity and ecosystems,FALSE,review,NA,NA,NA,"Mieszkowska, N.; Sugden, H.; Firth, L. B.; Hawkins, S. J.",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,10.1098/rsta.2013.0339,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,2025
Mapping of earthworm distribution for the British Isles and Eire highlights the under-recording of an ecologically important group,TRUE,NA,NA,NA,NA,"Carpenter, Daniel; Sherlock, Emma; Jones, David T.; Chiminoides, Jim; Writer, Thomas; Neilson, Roy; Boag, Brian; Keith, Aidan M.; Eggleton, Paul",BIODIVERSITY AND CONSERVATION,10.1007/s10531-011-0194-x,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2
The pitfalls of ecological forecasting,TRUE,NA,NA,NA,Uses bio recs for examples.  Analysis is not the focus.,"Oliver, Tom H.; Roy, David B.",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12579,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
"Jizz and the joy of pattern recognition: Virtuosity, discipline and the agency of insight in UK naturalists' arts of seeing",FALSE,Does not use bio recs data.  Ethnography about biological recorders.,NA,NA,NA,"Ellis, Rebecca",SOCIAL STUDIES OF SCIENCE,10.1177/0306312711423432,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,6
Harnessing the potential of the multi-indicator palaeoecological approach: an assessment of the nature and causes of ecological change in a eutrophic shallow lake,FALSE,Does not use bio recs data.,NA,NA,NA,"Bennion, Helen; Davidson, Thomas A.; Sayer, Carl D.; Simpson, Gavin L.; Rose, Neil L.; Sadler, Jonathan P.",FRESHWATER BIOLOGY,10.1111/fwb.12579,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,7
A design framework to model retinas,FALSE,NA,NA,NA,NA,"Morillas, Christian A.; Romero, Samuel F.; Martinez, Antonio; Pelayo, Francisco J.; Ros, Eduardo; Fernandez, Eduardo",BIOSYSTEMS,10.1016/j.biosystems.2006.09.009,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,2-3
Scottish upland forests: History lessons for the future,FALSE,I can’t find any use of bio recs.  Uses old ordnance survey maps to estimate extent and density of forest but I don’t think this qualifies as biological records data for us.,NA,NA,NA,"Holl, Kate; Smith, Mike",FOREST ECOLOGY AND MANAGEMENT,10.1016/j.foreco.2007.04.042,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,1-2
Geographic profiling as a novel spatial tool for targeting the control of invasive species,TRUE,NA,NA,NA,NA,"Stevenson, Mark D.; Rossmo, D. Kim; Knell, Robert J.; Le Comber, Steven C.",ECOGRAPHY,10.1111/j.1600-0587.2011.07292.x,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,8
Monitoring the distribution of crayfish in England and Wales.,TRUE,NA,NA,NA,"Doesn’t use NBN data, but does use presence records from an aggregated database which may be a mix of different surveys.","Sibley, PJ; Brickland, JH; Bywater, JA",BULLETIN FRANCAIS DE LA PECHE ET DE LA PISCICULTURE,10.1051/kmae:2002071,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367
"THE ATLAS OF GREAT-BRITAIN AND NORTHERN-IRELAND - BICKMORE,DP, SHAW,MA",FALSE,book review,NA,NA,NA,"WEBB, RK",POLITICAL SCIENCE QUARTERLY,10.2307/2147752,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,2
THE ATLAS OF BRITAIN AND NORTHERN-IRELAND,FALSE,book review,NA,NA,NA,"LEARMONTH, ATA",AUSTRALIAN GEOGRAPHER,10.1080/00049186408702432,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4
"NORTHERN-IRELAND - CENSUS ATLAS - COMPTON,PA",FALSE,book review,NA,NA,NA,"CLARKE, JI",POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,10.2307/2173546,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2
ATLAS OF BRITAIN AND NORTHERN-IRELAND,FALSE,book review,NA,NA,NA,"STAMP, LD",GEOGRAPHICAL JOURNAL,10.2307/1794668,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,4
"NORTHERN-IRELAND - A CENSUS ATLAS - COMPTON,PA",FALSE,book review,NA,NA,NA,"ADDISON, M",POLITICAL STUDIES,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1
"NORTHERN-IRELAND - A CENSUS ATLAS - COMPTON,PA",FALSE,book review,NA,NA,NA,"VAUGHAN, WE",IRISH HISTORICAL STUDIES,10.1017/S0021121400033940,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,84
THE ATLAS OF BRITAIN AND NORTHERN-IRELAND,FALSE,book review,NA,NA,NA,"ANSON, WW",GEOGRAPHY,NA,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,4
"NORTHERN-IRELAND - CENSUS ATLAS - COMPTON,PA",FALSE,book review,NA,NA,NA,"JONES, E",REGIONAL STUDIES,NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4
COUNTY ATLASES OF THE BRITISH-ISLES PUBLISHED AFTER 1703,FALSE,book review,NA,NA,NA,"SMITH, CD",GEOGRAPHICAL JOURNAL,10.2307/635179,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,NA
READERS DIGEST COMPLETE ATLAS OF BRITISH ISLES,FALSE,book review,NA,NA,NA,"BROWN, IW",GEOGRAPHICAL JOURNAL,10.2307/1793169,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,NA
"THE ATLAS OF BRITAIN AND NORTHERN-IRELAND - BLACKMAN,GE, CAESAR,AAL, GULLICK,CFWR, STEERS,JA, WORSWICK,GDN",FALSE,book review,NA,NA,NA,"ROBINSON, A",ECONOMIC JOURNAL,10.2307/2228336,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,295
"THE ATLAS OF BRITAIN AND NORTHERN-IRELAND - BICKMORE,DP, SHAW,MA",FALSE,book review,NA,NA,NA,[Anonymous],PROFESSIONAL GEOGRAPHER,NA,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2
"CONCISE ATLAS OF THE BRITISH-ISLES - BICKMORE,DP, DERRY,TK",FALSE,book review,NA,NA,NA,"SCARFE, NV",JOURNAL OF GEOGRAPHY,NA,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1
