link,inclusion order,title,qualifies,authors,publication,doi,year,,keywords,institution of first author,institution of last author,author associated with proximate data provider,proximate data source,country of study,spatial extent of study,start year,end year,,methodology development or analysis,individual species question,community question,,response variable – species richness,response variable – diversity,response variable – distribution,response variable – abundance,response variable – phenology,,trends over time,alien species focus,taxonomic group,,data structure – organized data collection scheme,data structure – sampling effort known,data structure – non-detection,data structure – multiple datasets integrated for analysis,,data type – what where when only,data type – abundance,data type – visit specific covariates,data type – life stage,data type – photo,data type – audio,data type – video,data type – voucher of some kind necessary for analysis,data type – gridded,grid resolution,,results type – inference,results type – prediction,results type – descriptive only,,biological records as response variable,biological records as predictor variable,biological records in facilitative role but not analyzed,spatially uneven sampling corrected for,prediction performance measure,cross validation,testing using simulation,testing using training data,testing using data subset,testing using independent dataset,,analysis method,predictor variables,methodology focus,,coding DONE,other notes,eligible for meta-analysis
https://search.proquest.com/docview/1980862738?accountid=14507,103,The interplay of climate and land use change affects the distribution of EU bumblebees,TRUE,"Marshall, L; Biesmeijer, JC; Rasmont, P; Vereecken, NJ; Dvorak, L; Fitzpatrick, U; Francis, F; Neumayer, J; Odegaard, F; Paukkunen, JPT; Pawlikowski, T; Reemer, M; Roberts, SPM; Straka, J; Vray, S; Dendoncker, N",Global Change Biology,10.1111/gcb.13867,2018,,biodiversity loss; dynamic; future; land use change scenarios; pollinators; projections; species distribution models (SDMs); wild bees,"University of Namur; Naturalis Biodiversity Center, Leiden, The Netherlands",University of Namur,T,Atlas Hymenoptera,Norway; Sweden; Finland; Estonia; Latvia; Lithuania; Denmark; UK; Ireland; Netherlands; Belgium; Germany; Poland; Czech Republic; Slovakia; Luxembourg; Hungary; Austria; Slovenia; Switzerland; France; Italy; Portugal; Spain; Greece,"EU without Ireland, Romania, Bulgaria, Canary Islands, and Cyprus, and including Norway and Switzerland",1970,2000,,F,T,F,,F,F,T,F,F,,T,F,Bombus,,F,F,F,T,,T,F,F,F,F,F,F,F,T,1 km^2,,T,T,F,,T,F,F,T,AUC,F,F,F,T,F,,GLM; GBM; Maxent; ensemble,growing degree days; annual water balance precipitation of wettest month; mean diurnal range; annual temperature range; CORINE land use classes,NA,,T,Advocates using land use / cover for predictive SDMs in addition to climate variables.  I plan to do this for all the reasons they say.  ,T
"http://www.mayococo.ie/en/media/Media,30002,en.pdf",124,Ballinrobe Biodiversity Management Plan. Report prepared for Mayo County Council,TRUE,"Smith, GF; D’Arcy, D",Blackthorn Ecology,NA,2018,,NA,Blackthorn Ecology,Blackthorn Ecology,F,NBDC; NPWS; BirdWatch Ireland; Swift Conservation Ireland; Bat Conservation Ireland,Ireland,291 ha,not clear,not clear,,F,T,F,,F,F,F,F,F,,F,F,all,,F,F,F,T,,T,F,F,F,F,F,F,F,T,unclear,,F,F,T,,T,T,T,F,NA,F,F,F,F,F,,description,NA,NA,,T,,F
https://www.sciencedirect.com/science/article/pii/S1470160X18303443,125,Prior specification in Bayesian occupancy modelling improves analysis of species occurrence data,TRUE,"Outhwaite, CL; Chandler, RE; Powney, GD; Collen, B; Gregory, RD; Isaac, NJB",Ecological Indicators,10.1016/jecolind.2018.05.010,2018,,biodiversity indicator; Bayesian occupancy model; multi-species indicator; priors; species occurrence; biological records; biodiversity targets,Centre for Ecology & Hydrology; University College London; RSPB Centre for Conservation Science,Centre for Ecology & Hydrology; University College London,T,"Bees, Wasps and Ants Recording Society",UK; Ireland,UK,1970,2013,,T,T,F,,F,F,T,F,F,,T,F,ants,,F,F,F,F,,T,F,F,F,F,F,F,F,T,1 km^2,,T,F,F,,T,F,F,T,NA,F,T,F,F,F,,occupancy model,time,occpupancy model improvement,,T,wg needs to read,T
NA,131,British phenological records indicate high diversity and extinction rates among late-summer-flying pollinators,TRUE,"Balfour, NJ; Ollerton, J; Castellanos, MC; Ratnieks, FLW",Biological Conservation,10.1016/j.biocon.2018.04.028,2018,,endangered species; extinctions; flowers; flower visitors; foraging resources; phenology; pollinators; seasonality,University of Sussex,University of Sussex,F,"Bees, Wasps and Ants Recording Society; UKBMS; Hoverfly Recording Scheme; GBIF",UK; Ireland; Sweden; Germany; Netherlands; Norway; Belgium; Czech Republic; Luxembourg; France; Austria; Poland; Aoland Islands; Denmark; Finland,UK; Ireland; Sweden; Germany; Netherlands; Norway; Belgium; Czech Republic; Luxembourg; France; Austria; Poland; Aoland Islands; Denmark; Finland,1740,2015,,F,T,T,,T,F,T,F,T,,F,F,Hymenoptera; plants; hoverflies,,T,T,T,T,,T,F,F,F,F,F,F,F,T,10 km^2,,T,F,F,,T,F,F,F,NA,F,F,F,F,F,,Chi-squared; description,extinct status; endangered status,NA,,T,Neat study.  WG read in detail at some point.,T
https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12742,137,Ocean current connectivity propelling the secondary spread of a marine invasive comb jelly across western Eurasia,TRUE,"Jaspers, C; Huwer, B; Antajan, E; Hosia, A; Hinrichsen, HH; Biastoch, A; Angel, D; Asmus, R; Augustin, C; Bagheri, S; Beggs, SE; Balsby, TJS; Boersma, M; Bonnet, D; Christensen, JT; Danhards, A; Delpy, F; Falkenhaug, T; Finenko, G; Fleming, NEC; Fuentes, V; Galil, B; Gittenberger, A; Griffin, DC; Haslob, H; Javidpour, J; Kamburska, L; Kube, S; Langenberg, VT; Lehtiniemi, M; Lombard, F; Malzahn, A; Marambio, M; Mihneva, V; Moller, LF; Niermann, U; Okyar, MI; Ozdemir, ZB; Pitois, S; Reusch, TBH; Robbens, J; Stefanova, K; Thibault, D; van der Veer, HW; Vansteenbrugge, L; van Walraven, L; Wozniczka, A",Global Ecology and Biogeography,10.1111/geb.12742,2018,,biological invasions; gelatinous zooplankton; invasion corridors; invasive species; jellyfish; marine connectivity; Mnemiopsis leidyi; range expansion; source populations; source-sink dynamics,Technical University of Denmark; Hemholtz Centre for Ocean Research,"National Marine Fisheries Research Institute, Gdynia, Poland",T,many; authors; publications,many,"Western Eurasia; 30 deg N to 66 deg N, 12 deg W to 55 deg east",1982,2016,,F,T,F,,F,F,T,F,F,,T,T,comb jelly; Mnemiopsis leidyi,,T,T,T,T,,T,F,F,F,F,F,F,F,F,NA,,T,F,F,,T,F,F,T,NA,F,F,T,F,F,,GLM; maps,water temperature,NA,,T,,T
https://search.proquest.com/docview/2010299601?accountid=14507,146,Population variability in species can be deduced from opportunistic citizen science records: a case study using British butterflies,TRUE,"Mason, SC; Hill, JK; Thomas, CD; Powney, GD; Fox, R; Brereton, T; Oliver, TH",Insect Conservation and Diversity,10.1111/icad.12242,2018,,abundance; biogeography; biological records; inter-annual variation; population size; range extent,"Centre for Ecology and Hydrology, Wallingford, UK; University of York",University of Reading,T,Butterfly Conservation,UK,30280 km^2,1976,2012,,F,T,T,,F,F,F,T,F,,T,F,butterflies,,T,T,T,F,,T,T,F,F,F,F,F,F,T,10 km^2; 1 km^2,,T,F,F,,T,T,F,F,NA,F,F,T,F,F,,regression; phylogenetic regression,fractal dimension of range; dispersal ability,NA,,T,could be stuff here for me to try with NBDC data,T
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043761935&doi=10.13156%2farac.2017.17.7.331&partnerID=40&md5=692eb0b62ac9ffafe25146d93e9e61b0,158,Spatiotemporal Variation in House Spider Phenology at a National Scale Using Citizen Science,TRUE,"Hart, AG; Nesbit, R; Goodenough, AE",Arachnology,10.13156/arac.2017.17.7.331,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.researchgate.net/profile/Jolyon_Medlock/publication/322922070_Surveillance_of_British_ticks_An_overview_of_species_records_host_associations_and_new_records_of_Ixodes_ricinus_distribution/links/5a9ea06d0f7e9b80dfb4e6cf/Surveillance-of-British-ticks-An-overview-of-species-records-host-associations-and-new-records-of-Ixodes-ricinus-distribution.pdf,176,Ticks and Tick-borne Diseases,TRUE,NA,NA,NA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecy.2237,191,Explaining European fungal fruiting phenology with climate variability,TRUE,NA,NA,NA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046708707&doi=10.1007%2fs10530-018-1759-3&partnerID=40&md5=827e3652e4bfb5b9dd341806998e7e6b,197,Working with gardeners to identify potential invasive ornamental garden plants: testing a citizen science approach,TRUE,"Dehnen-Schmutz, K; Conroy, J",Biological Invasions,10.1007/s10530-018-1759-3,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/S1617138117304028,212,Monitoring landscape-scale environmental changes with citizen scientists: twenty years of land use change in Great Britain,TRUE,NA,NA,NA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://kildare.ie/CountyCouncil/PublicConsultations-Part8Schemes/Housing/P8201803NancysLaneBallinagappaRoadClane/9.%20Ecological%20Impact%20Assessment.pdf,229,Ecological Impact Assessment Proposed residential development at Nancy’s Lane,TRUE,NA,NA,NA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://search.proquest.com/docview/2032682998?accountid=14507,234,Predicting population trends using citizen science data: do subsampling methods produce reliable estimates for mammals?,TRUE,"Callcutt, K; Croft, S; Smith, GC",NA,NA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://onlinelibrary.wiley.com/doi/abs/10.1111/ddi.12741,247,"Predicting distributions, habitat preferences and associated conservation implications for a genus of rare fishes, seahorses (Hippocampus spp.)",TRUE,NA,NA,NA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://search.proquest.com/docview/2045779882?accountid=14507,261,Unlocking biodiversity data: Prioritization and filling the gaps in biodiversity observation data in Europe,TRUE,"Wetzel, FT; Christoph L. HÃ¤user; Martin, CS; Schmeller, DS; Saarenmaa, H; Bingham, HC; Tonkin, JD; Penev, L; Kuhlmann, M; Haase, P; Groom, Q; Stoll, S; Robertson, T; KÃµljalg, U",NA,NA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040781887&doi=10.1002%2fecm.1284&partnerID=40&md5=347888ff53790f1a39928c02cae17ccf,274,Upscaling biodiversity: estimating the species–area relationship from small samples,TRUE,"Kunin, WE; Harte, J; He, F; Hui, C; Jobe, RT; Ostling, A; Polce, C; Šizling, A; Smith, AB; Smith, K; Smart, SM; Storch, D; Tjørve, E; Ugland, K-I; Ulrich, W; Varma, V",Ecological Monographs,10.1002/ecm.1284,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://onlinelibrary.wiley.com/doi/abs/10.1111/een.12485,297,Nature protection areas of Europe are insufficient to preserve the threatened beetle Rosalia alpina (Coleoptera: Cerambycidae): evidence from species distribution …,TRUE,NA,NA,NA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035785719&doi=10.1016%2fj.funeco.2017.11.009&partnerID=40&md5=064a94ad891cc2fd55c662b7a7903863,298,Congruency in fungal phenology patterns across dataset sources and scales,TRUE,"Andrew, C; Heegaard, E; Gange, AC; Senn-Irlet, B; Egli, S; Kirk, PM; Buntgen, U; Kauserud, H; Boddy, L",FUNGAL ECOLOGY,10.1016/j.funeco.2017.11.009,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,308,N81 Tullow Footbridges Scheme & Associated Road Reconfiguration Works,TRUE,Atkins Ireland,NA,NA,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
