author,title,year,articleURL,doi
"J Wang, K Kiho, D Ofiara, Y Zhao, A Bera, R Lohmann…",. Marine Debris,2016,http://www.un.org/Depts/los/global_reporting/WOA_RPROC/Chapter_25.pdf,NA
"S Rech, Y Borrell, E García-Vazquez",Marine litter as a vector for non-native species: What we need to know,2016,https://www.sciencedirect.com/science/article/pii/S0025326X16306658,NA
"LA Walker, JS Chaplow, HK Grant, AJ Lawlor…",Mercury (Hg) concentrations in predatory bird livers and eggs as an indicator of changing environmental concentrations: a Predatory Bird Monitoring Scheme (PBMS) …,2016,http://nora.nerc.ac.uk/id/eprint/514556/,NA
"SA Loiselle, DGF Cunha, S Shupe, E Valiente…","Micro and Macroscale Drivers of Nutrient Concentrations in Urban Streams in South, Central and North America",2016,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0162684,NA
"J Hall, T Dore, R Smith, C Evans, E Rowe, B Bealey…",Modelling and mapping of exceedance of critical loads and critical levels for acidification and eutrophication in the UK 2013-2016. Final report,2016,http://nora.nerc.ac.uk/id/eprint/516433,NA
"RD Swetnam, LG Firbank, NE Ellis…",Modelling ecological change on Set-aside arable land using,2016,https://books.google.com/books?hl=en&lr=&id=_J7WCwAAQBAJ&oi=fnd&pg=PA72&dq=%E2%80%9Cbiological+records%E2%80%9D+ireland+-book+-%22new+report%22+-%22new+species%22+-%22new+record%22&ots=UHD3PE8OK_&sig=Yy84L5LQYK0mlEbbWW9__6TG2CE,NA
AD Mason,Monitoring individual animals through a collaborative crowdsourcing and citizen science platform,2016,http://search.proquest.com/openview/54452d3d26f5af0a7562bf1fada3b54e/1?pq-origsite=gscholar&cbl=2026366&diss=y,NA
"P Vasconcelos, P Moura, F Pereira…",Morphometric relationships and relative growth of 20 uncommon bivalve species from the Algarve coast (southern Portugal),2016,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/morphometric-relationships-and-relative-growth-of-20-uncommon-bivalve-species-from-the-algarve-coast-southern-portugal/F44C4D88317711675AFD34FDC78301E9,NA
"O Arazy, I Gellatly, E Brainin…",Motivation to share knowledge using wiki technology and the moderating effect of role perceptions,2016,http://onlinelibrary.wiley.com/doi/10.1002/asi.23579/full,NA
"EE Levi, G Bezirci, Aİ Çakıroğlu, S Turner…",Multi-proxy palaeoecological responses to water-level fluctuations in three shallow Turkish lakes,2016,https://www.sciencedirect.com/science/article/pii/S0031018216001541,NA
"A Kaminski, L Buquo, MC Roman, B Beck…",NASA's Public Participation Universe: Why and How the US Space Agency Is Democratizing Its Approaches to Innovation,2016,https://arc.aiaa.org/doi/pdf/10.2514/6.2016-5466,NA
"T Lavers, SM Charlesworth",Natural Flood Risk Management and its Role in Working with Natural Processes,2016,https://books.google.com/books?hl=en&lr=&id=MzQWDQAAQBAJ&oi=fnd&pg=PA159&dq=%E2%80%9Ccitizen+science%E2%80%9D+species+%E2%80%9Cunited+kingdom%E2%80%9D+-disease+-book+-%22new+report%22+-%22new+species%22+-%22new+record%22&ots=nm-MRpQiyz&sig=7xoLD0b0xDBIp4eBFlZ5rnmzm9I,NA
"L Seelen, G Flaim, E Jennings…",Netlake working group 3: citizen science monitoring program,2016,https://openpub.fmach.it/bitstream/10449/34888/1/NETLAKE%20symposium%20booklet.pdf,NA
"FJ García-Peñalvo, NA Kearney",Networked youth research for empowerment in digital society: the WYRED project,2016,https://dl.acm.org/citation.cfm?id=3012489,NA
"E Jennings, E de Eyto, G Flaim, D George…",Networking lake observatories in Europe: an overview,2016,https://openpub.fmach.it/handle/10449/34886,NA
P Richards,"NEW COUNTY RECORDS AND SOME HABITAT OBSERVATIONS FOR TRICHONISCOIDES SPECIES (ISOPODA, ONISCIDEA: TRICHONISCIDAE) FROM …",2016,http://www.bmig.org.uk/sites/www.bmig.org.uk/files/bulletin/BullBMIG29-2016.pdf#page=39,NA
S McCormick,New tools for emergency managers: an assessment of obstacles to use and implementation,2016,http://onlinelibrary.wiley.com/doi/10.1111/disa.12141/full,NA
"J Swinton, E Ochu…",Novel Fibonacci and non-Fibonacci structure in the sunflower: results of a citizen science experiment,2016,http://rsos.royalsocietypublishing.org/content/3/5/160091+,NA
"L Del Savio, A Buyx, B Prainsack",Opening the black box of participation in medicine and healthcare (ITA manu: script 16-01),2016,http://hw.oeaw.ac.at/?arp=0x0033c43c,NA
"L Corti, N Fielding","Opportunities From the Digital Revolution: Implications for Researching, Publishing, and Consuming Qualitative Research",2016,http://journals.sagepub.com/doi/abs/10.1177/2158244016678912,NA
"B Emmett, C Bell, D Chadwick, C Cheffings, P Henrys…",Options for a new integrated natural resources monitoring framework for Wales. Phase 1 project report,2016,http://nora.nerc.ac.uk/id/eprint/515663/,NA
"G Reifferscheid, B Bänsch-Baltruschat…",Overview on plastics in European freshwater environments‒Results of a survey,2016,https://www.researchgate.net/profile/Stefanie_Felsing/publication/316284914_European_Conference_on_Plastics_in_Freshwater_Environments_21_-_22_June_2016_in_Berlin/links/58f9c0cbaca2723d79d5c476/European-Conference-on-Plastics-in-Freshwater-Environments-21-22-June-2016-in-Berlin.pdf#page=19,NA
"A Florenzano, AM Mercuri, M Altunoz…",Palynological evidence of cultural and environmental connections in Sudanese Nubia during the Early and Middle Holocene,2016,https://www.sciencedirect.com/science/article/pii/S1040618216000185,NA
C Armeni,Participation in environmental decision-making: reflecting on planning and community benefits for major wind farms,2016,https://academic.oup.com/jel/article-abstract/28/3/415/2562980,NA
"R Lukyanenko, J Parsons, YF Wiersma…",Participatory Design for User-generated Content: Understanding the challenges and moving forward.,2016,http://aisel.aisnet.org/cgi/viewcontent.cgi?article=1443&context=sjis,NA
"AB Phillimore, DI Leech…",Passerines may be sufficiently plastic to track temperature‐mediated shifts in optimum lay date,2016,http://onlinelibrary.wiley.com/doi/10.1111/gcb.13302/full,NA
"EH Boakes, G Gliozzo, V Seymour, M Harvey…",Patterns of contribution to citizen science biodiversity projects increase understanding of volunteers' recording behaviour,2016,https://www.nature.com/articles/srep33051,NA
"C Hargood, V Hunt, MJ Weal, DE Millard",Patterns of sculptural hypertext in location based narratives,2016,https://dl.acm.org/citation.cfm?id=2914595,NA
"M Simonneau, C Courtial, J Pétillon",Phenological and meteorological determinants of spider ballooning in an agricultural landscape,2016,https://www.sciencedirect.com/science/article/pii/S1631069116300919,NA
"P Lang, S Meis, L Prochazkova, L Carvalho…",Phytoplankton community responses in a shallow lake following lanthanum-bentonite application,2016,https://www.sciencedirect.com/science/article/pii/S0043135416301452,NA
"SK Pikesley, BJ Godley, H Latham, PB Richardson…",Pink sea fans (Eunicella verrucosa) as indicators of the spatial efficacy of Marine Protected Areas in southwest UK coastal waters,2016,https://www.sciencedirect.com/science/article/pii/S0308597X15002948,NA
"DP Robinson, MY Jaidah, S Bach, K Lee, RW Jabado…","Population structure, abundance and movement of whale sharks in the Arabian Gulf and the Gulf of Oman",2016,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158593,NA
"A Ruiz-Navarro, PK Gillingham, JR Britton",Predicting shifts in the climate space of freshwater fishes in Great Britain due to climate change,2016,https://www.sciencedirect.com/science/article/pii/S000632071630324X,NA
"TJ Cole, RA Hataway","Prescribed Burning Affects a Measure of Fitness in Ctenus hibernalis (Araneae: Ctenidae) at Oak Mountain State Park, Shelby County, AL",2016,http://www.bioone.org/doi/abs/10.1656/058.015.0407,NA
"J Zhao, R Binns, M Van Kleek, N Shadbolt",Privacy Languages: Are we there yet to enable user controls?,2016,https://dl.acm.org/citation.cfm?id=2890590,NA
"WT Gee, O Guyon, J Walawender…",Project PANOPTES: a citizen-scientist exoplanet transit survey using commercial digital cameras,2016,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/9908/99085V/Project-PANOPTES--a-citizen-scientist-exoplanet-transit-survey-using/10.1117/12.2234461.short,NA
SC Rennie,"Providing information on environmental change: Data management, discovery and access in the UK Environmental Change Network Data Centre",2016,https://www.sciencedirect.com/science/article/pii/S1470160X16300140,NA
"J Jellema, HAJ Mulder",Public engagement in energy research,2016,http://www.mdpi.com/1996-1073/9/3/125htm,NA
S Eden,"Public participation in environmental policy: considering scientific, counter-scientific and non-scientific contributions",2016,http://journals.sagepub.com/doi/full/10.1088/0963-6625/5/3/001,NA
"NL Rose, SD Turner, B Goldsmith…",Quality control in public participation assessments of water quality: The OPAL Water Survey,2016,https://bmcecol.biomedcentral.com/articles/10.1186/s12898-016-0063-2,NA
"C Wilsey, C Jensen, N Miller",Quantifying avian relative abundance and ecosystem service value to identify conservation opportunities in the Midwestern US,2016,https://www.ace-eco.org/vol11/iss2/art7/,NA
"TL Crewe, PD Taylor, D Lepage…",Quantifying regional variation in population trends using migrating counts,2016,http://onlinelibrary.wiley.com/doi/10.1002/jwmg.1003/full,NA
"AR Hof, PW Bright",Quantifying the long-term decline of the West European hedgehog in England by subsampling citizen-science datasets,2016,https://link.springer.com/article/10.1007/s10344-016-1013-1,NA
"M Marco, T Brooks, A Cuttelod…",Quantifying the relative irreplaceability of important bird and biodiversity areas,2016,http://onlinelibrary.wiley.com/doi/10.1111/cobi.12609/full,NA
"G Martin, E Porcher, N Machon",Quels enjeux pour l'implication des botanistes bénévoles dans les suivis participatifs de biodiversité en France?,2016,https://books.google.com/books?hl=en&lr=&id=WXkuDAAAQBAJ&oi=fnd&pg=PA69&dq=%E2%80%9Ccitizen+science%E2%80%9D+species+ireland+-disease+-book+-%22new+report%22+-%22new+species%22+-%22new+record%22&ots=ubwrFPubIe&sig=e5fCnE9v84AoLA0Hmy3428F4_s0,NA
"MG Kelly, J Krokowski, JPC Harding",RAPPER: A new method for rapid assessment of macroalgae as a complement to diatom-based assessments of ecological status,2016,https://www.sciencedirect.com/science/article/pii/S0048969715312250,NA
"JQ Richmond, CJ Rochester, NW Smith…","Rare alluvial sands of El Monte Valley, California (San Diego County), support high herpetofaunal species richness and diversity, despite severe habitat disturbance",2016,http://www.bioone.org/doi/abs/10.1894/0038-4909-61.4.294,NA
TH Blackstock,Recent increase in records of Metzgeria violacea (Ach.) Dumort. sporophytes in Britain and Ireland,2016,http://www.tandfonline.com/doi/full/10.1080/03736687.2016.1168981,NA
"R Arlinghaus, SJ Cooke, SG Sutton…",Recommendations for the future of recreational fisheries to prepare the social‐ecological system to cope with change,2016,http://onlinelibrary.wiley.com/doi/10.1111/fme.12191/full,NA
"MC Jackson, OLF Weyl, F Altermatt, I Durance…",Recommendations for the next generation of global freshwater biological monitoring tools,2016,https://www.sciencedirect.com/science/article/pii/S006525041630023X,NA
"A Marx, J Wouters",Redesigning enforcement in private labour regulation: Will it work?,2016,http://onlinelibrary.wiley.com/doi/10.1111/j.1564-913X.2015.00040.x/full,NA
"PA Arias, JC Villegas, J Machado…",Reducing Social Vulnerability to Environmental Change: Building Trust through Social Collaboration on Environmental Monitoring,2016,http://journals.ametsoc.org/doi/abs/10.1175/WCAS-D-15-0049.1,NA
"AM Wilson, W Jetz",Remotely sensed high-resolution global cloud dynamics for predicting ecosystem and biodiversity distributions,2016,http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1002415,NA
BAD NEUENAHR-AHRWEILER,REPORT OF THE THIRTY-THIRD ANNUAL MEETING OF THE COUNCIL BAD NEUENAHR-AHRWEILER,2016,http://www.nasco.int/pdf/reports_annual/2016%20Council%20Report.pdf,NA
"J Beal, T Haddock-Angelli, M Gershater, K De Mora…",Reproducibility of fluorescent expression from engineered biological constructs in E. coli,2016,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0150182&1534-D83A_1933715A=608dd19ae695b624f15a707be19fae92bd11c897,NA
"B Elberling, A Michelsen, A Priemé, P Ambus…",Research Plan,2016,http://cenperm.ku.dk/permafrost-research/pdf/researchplan_cenperm2.pdf,NA
"NJ Bax, J Cleary, B Donnelly, DC Dunn…",Results of efforts by the Convention on Biological Diversity to describe ecologically or biologically significant marine areas,2016,http://onlinelibrary.wiley.com/doi/10.1111/cobi.12649/full,NA
"J Burman, L Westerberg, S Ostrow, N Ryrholm…",Revealing hidden species distribution with pheromones: the case of Synanthedon vespiformis (Lepidoptera: Sesiidae) in Sweden,2016,https://link.springer.com/article/10.1007/s10841-015-9835-9,NA
O Pescott,Revised lists of nationally rare and scarce bryophytes for Britain,2016,http://rbg-web2.rbge.org.uk/bbs/activities/field%20bryology/FB115/FB115_Oli_RareList.pdf,NA
"KP Vealey, JM Gerding",Rhetorical Work in Crowd-Based Entrepreneurship: Lessons Learned From Teaching Crowdfunding as an Emerging Site of Professional and Technical …,2016,http://ieeexplore.ieee.org/abstract/document/7731214/,NA
"JA Gore, J Banning, AF Casper…",River resource management and the effects of changing landscapes and climate,2016,https://books.google.com/books?hl=en&lr=&id=t-WfCwAAQBAJ&oi=fnd&pg=PA295&dq=%E2%80%9Ccitizen+science%E2%80%9D+species+ireland+-disease+-book+-%22new+report%22+-%22new+species%22+-%22new+record%22&ots=Qrpfscfue4&sig=QAyDS6eyMixa7kKJVrgAN1GsGh4,NA
"LG Pârâu, D Strubbe, E Mori…",Rose-ringed Parakeet Psittacula krameri populations and numbers in Europe: a complete overview,2016,https://benthamopen.com/FULLTEXT/TOOENIJ-9-1,NA
"CJ Lundquist, KT Fisher, R Le Heron…",Science and societal partnerships to address cumulative impacts,2016,https://www.frontiersin.org/articles/10.3389/fmars.2016.00002,NA
"S Arnaldi, L Bianchi","Science, Technology and Society Relationships as the Background of Responsibility",2016,https://link.springer.com/chapter/10.1007/978-3-658-11014-7_4,NA
"AJ Winship, BP Kinlan, LT Ballance, T Joyce…",Seabirds,2016,http://plymsea.ac.uk/7259/,NA
"AH Fullerton, S Anzalone, P Moran…",Setting spatial conservation priorities despite incomplete data for characterizing metapopulations,2016,http://onlinelibrary.wiley.com/doi/10.1002/eap.1411/full,NA
"J Gowing, G Parkin, N Forsythe…",Shallow groundwater in sub-Saharan Africa: neglected opportunity for sustainable intensification of small-scale agriculture?,2016,http://www.hydrol-earth-syst-sci-discuss.net/hess-2015-549/hess-2015-549.pdf,NA
"A Ruiz‐Navarro, PK Gillingham…",Shifts in the climate space of temperate cyprinid fishes due to climate change are coupled with altered body sizes and growth rates,2016,http://onlinelibrary.wiley.com/doi/10.1111/gcb.13230/full,NA
"ER Thieler, SL Zeigler, LA Winslow, MK Hines…",Smartphone-based distributed data collection enables rapid assessment of shorebird habitat suitability,2016,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164979,NA
"TE Turner, GT Swindles, DJ Charman, PG Langdon…",Solar cycles or random processes? Evaluating solar variability in Holocene climate records,2016,https://www.nature.com/articles/srep23961,NA
"AR Lombardi, AE Hay, DR Barclay","Soundscape characterization in a dynamic acoustic environment: Grand Passage, Nova Scotia, a planned in-stream tidal energy site",2016,http://asa.scitation.org/doi/abs/10.1121/2.0000246,NA
"ES Poloczanska, AJ Hobday, MR Keatley, LG Underhill",Southern Hemisphere biodiversity and global change: Data gaps and strategies [PROOFS],2016,http://www.the-eis.com/data/literature/Southern%20Hemisphere%20biodiversity%20and%20global%20change.pdf,NA
"M Moriarty, D Pedreschi, D Stokes, L Dransfeld…",Spatial and temporal analysis of litter in the Celtic Sea from Groundfish Survey data: Lessons for monitoring,2016,https://www.sciencedirect.com/science/article/pii/S0025326X15302241,NA
"T Amano, JDL Lamming, WJ Sutherland",Spatial gaps in global biodiversity information and the role of citizen science,2016,https://academic.oup.com/bioscience/article-abstract/66/5/393/2468614,NA
"R Civade, T Dejean, A Valentini, N Roset…",Spatial representativeness of environmental DNA metabarcoding signal for fish biodiversity assessment in a natural freshwater system,2016,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157366,NA
"GE Austen, M Bindemann, RA Griffiths, DL Roberts",Species identification by experts and non-experts: comparing images from field guides,2016,https://www.nature.com/articles/srep33634,NA
"N Robinson-Garcia, TN van Leeuwen…",SSH & the City. A Network Approach for Tracing the Societal Contribution of the Social Sciences and Humanities for Local Development,2016,https://arxiv.org/abs/1606.00153,NA
"K Collins, J Hannaford, M Svoboda…","Stakeholder Coinquiries on Drought Impacts, Monitoring, and Early Warning Systems",2016,http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-16-0185.1,NA
"F Herzog, J Franklin",State-of-the-art practices in farmland biodiversity monitoring for North America and Europe,2016,https://link.springer.com/article/10.1007/s13280-016-0799-0,NA
"M Palacin-Silva, A Seffah, K Heikkinen, J Porras…","State-of-the Art Study in Citizen Observatories: Technological Trends, Development Challenges and Research Avenues",2016,https://helda.helsinki.fi/handle/10138/164810,NA
"SR Swengel, AB Swengel",Status and Trend of Regal Fritillary (Speyeria idalia)(Lepidoptera: Nymphalidae) in the 4th of July Butterfly Count Program in 1977–2014,2016,https://www.hindawi.com/journals/scientifica/2016/2572056/abs/,NA
H Roy,STRUCTURED INDICATOR REVIEWS,2016,http://nora.nerc.ac.uk/id/eprint/515118/1/N515118CR.pdf#page=5,NA
"R Jordan, S Gray, A Sorensen, G Newman…",Studying citizen science through adaptive management and learning feedbacks as mechanisms for improving conservation,2016,https://onlinelibrary.wiley.com/doi/abs/10.1111/cobi.12659,NA
M MOSELEY,"Subterranean biology of Morecambe Bay and the Isle of Man, British Isles",2016,https://www.researchgate.net/profile/Max_Moseley/publication/309490197_Subterranean_biology_of_Morecambe_Bay_and_the_Isle_of_Man_British_Isles/links/58843b48a6fdcc6b79108917.pdf,NA
"V Runnel, F Wetzel, Q Groom, W Koch…",Summary report and strategy recommendations for EU citizen science gateway for biodiversity data,2016,https://riojournal.com/article_preview.php?id=11563,NA
"L Davies, R Fradera, H Riesch…","Surveying the citizen science landscape: an exploration of the design, delivery and impact of citizen science through the lens of the Open Air Laboratories …",2016,https://bmcecol.biomedcentral.com/articles/10.1186/s12898-016-0066-z,NA
"S Schade, C Tsinaraki",Survey report: data management in Citizen Science projects,2016,https://www.researchgate.net/profile/Sven_Schade/publication/310613855_Survey_report_-_Data_management_in_citizen_science_projects/links/5833eff408ae004f74c5be07.pdf,NA
"A Johnston, RA Robinson, G Gargallo, R Julliard…",Survival of Afro‐Palaearctic passerine migrants in western Europe and the impacts of seasonal weather variables,2016,http://onlinelibrary.wiley.com/doi/10.1111/ibi.12366/full,NA
"PJ Clunies-Ross, GPS Smith, KC Gordon…",Synthetic shorelines in New Zealand? Quantification and characterisation of microplastic pollution on Canterbury's coastlines,2016,http://www.tandfonline.com/doi/abs/10.1080/00288330.2015.1132747,NA
"M Al-Shammari, DJ Tobin…",Systematic associations between germ-line mutations and human cancers,2016,https://www.inderscienceonline.com/doi/abs/10.1504/IJCBDD.2016.074980,NA
"VL Wilkins-Kindemba, GS Oxford, J Hughes",Tansy Beetle Conservation Action,2016,https://www.buglife.org.uk/sites/default/files/Tansy%20Beetle%20Conservation%20Action%20Plan.pdf,NA
"AS Tribot, N Mouquet, S Villéger, M Raymond, F Hoff…",Taxonomic and functional diversity increase the aesthetic value of coralligenous reefs,2016,https://www.nature.com/articles/srep34229,NA
"A Lehoczky, B Szabó, R Pongrácz…",TESTING PLANT PHENOPHASE AS PROXY: SENSITIVITY ANALYSIS OF FIRST FLOWERING DATA FROM THE 19 TH CENTURY,2016,https://www.researchgate.net/profile/Barbara_Templ/publication/297419499_Testing_plant_phenophase_as_proxy_Sensitivity_analysis_of_first_flowering_data_from_the_19TH_century/links/56deef9908aedd1e51500b72/Testing-plant-phenophase-as-proxy-Sensitivity-analysis-of-first-flowering-data-from-the-19TH-century.pdf,NA
AS Hansen,Testing visitor produced pictures as a management strategy to study visitor experience qualities–A Swedish marine case study,2016,https://www.sciencedirect.com/science/article/pii/S221307801630024X,NA
"AJ Barr, CW Kalderon, AC Haas",That looks weird'-evaluating citizen scientists' ability to detect unusual features in ATLAS images of LHC collisions,2016,https://arxiv.org/abs/1610.02214,NA
"JW Hancock, RG Rees, TK Jenkins, I Shameel1…",The “Big Fish Network”: Using new technology to incentivise citizen science engagement in the Maldives,2016,http://www.qscience.com/doi/abs/10.5339/qproc.2016.iwsc4.21,NA
"RJH Herbert, L Ma, A Marston, WF Farnham, I Tittley…",The calcareous brown alga Padina pavonica in southern Britain: population change and tenacity over 300 years,2016,https://link.springer.com/article/10.1007/s00227-015-2805-7,NA
S Maret,The Charm of Secrecy: Secrecy and Society as Secrecy Studies,2016,http://scholarworks.sjsu.edu/cgi/viewcontent.cgi?article=1014&context=secrecyandsociety,NA
"G McArdle, R Kitchin",The Dublin Dashboard: Design and development of a real-time analytical urban dashboard,2016,http://search.proquest.com/openview/312c3260dbad90d8a4c859033b8982f2/1?pq-origsite=gscholar&cbl=2037681,NA
HT Rothschild,"The Effect of Cyanobacterium Gloeotrichia echinulata in the Belgrade Lakes, Maine",2016,https://digitalcommons.colby.edu/honorstheses/829/,NA
SM Slonka,The effects of changing water availability on bird communities in a California urban landscape,2016,http://repository.library.fresnostate.edu/handle/10211.3/185177,NA
"AG Brown, SR Davis, J Hatton, C O'Brien…",The Environmental Context and Function of Burnt-Mounds: New Studies of Irish Fulachtaí Fiadh,2016,https://www.cambridge.org/core/journals/proceedings-of-the-prehistoric-society/article/environmental-context-and-function-of-burntmounds-new-studies-of-irish-fulachtai-fiadh/71D2369D8294BA604F880FF077AC82EA,NA
"H Bouwman, SW Evans, N Cole, NSCK Yive…","The flip-or-flop boutique: Marine debris on the shores of St Brandon's rock, an isolated tropical atoll in the Indian Ocean",2016,https://www.sciencedirect.com/science/article/pii/S0141113615300921,NA
"N Mahony, HC Stephansen",The frontiers of participatory public engagement,2016,http://journals.sagepub.com/doi/abs/10.1177/1367549416632007,NA
M Somveille,The global ecology of bird migration: patterns and processes,2016,https://escholarship.org/uc/item/5bm866sw,NA
"OJC Boles, PJ Lane","The Green, Green Grass of Home: an archaeo-ecological approach to pastoralist settlement in central Kenya",2016,http://www.tandfonline.com/doi/abs/10.1080/0067270X.2016.1249587,NA
"FA La Sorte, WM Hochachka, A Farnsworth…",The implications of mid‐latitude climate extremes for North American migratory bird populations,2016,http://onlinelibrary.wiley.com/doi/10.1002/ecs2.1261/full,NA
AJ Green,The importance of waterbirds as an overlooked pathway of invasion for alien species,2016,http://onlinelibrary.wiley.com/doi/10.1111/ddi.12392/full,NA
S Teichert,The influence of capacity and attitudes in the use of water quality citizen science and volunteer benthic monitoring in the freshwater management activities of Ontario's …,2016,http://ir.lib.uwo.ca/etd/3690/,NA
"LM Diepenbrock, K Fothergill, KV Tindall…",The influence of exotic lady beetle (Coleoptera: Coccinellidae) establishment on the species composition of the native lady beetle community in Missouri,2016,https://academic.oup.com/ee/article-abstract/45/4/855/2465864,NA
T Scovazzi,The international legal framework for marine mammal conservation in the Mediterranean Sea,2016,https://www.sciencedirect.com/science/article/pii/S0065288116300104,NA
K Kirby,The Kirby Archive of British woodland studies,2016,https://ora.ox.ac.uk/objects/uuid:948a1302-5023-4216-b5a4-3e815dfe95ed,NA
"MJ Simis, H Madden…",The lure of rationality: Why does the deficit model persist in science communication?,2016,http://journals.sagepub.com/doi/abs/10.1177/0963662516629749,NA
"J Sarafraz, M Rajabizadeh, E Kamrani","The preliminary assessment of abundance and composition of marine beach debris in the northern Persian Gulf, Bandar Abbas City, Iran",2016,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/preliminary-assessment-of-abundance-and-composition-of-marine-beach-debris-in-the-northern-persian-gulf-bandar-abbas-city-iran/33767C4BB8F25149CEEE1A7E336C0E41,NA
"M Tanahashi, CJ Hawes",The presence of a mycangium in European Sinodendron cylindricum (Coleoptera: Lucanidae) and the associated yeast symbionts,2016,https://academic.oup.com/jinsectscience/article-abstract/doi/10.1093/jisesa/iew054/2726687,NA
J Shearman,"The regulation of respiration on plant growth and development of Fallopia japonica, Japanese knotweed",2016,http://sro.sussex.ac.uk/id/eprint/62040,NA
"N Shadbolt, M Van Kleek…",The Rise of Social Machines: The development of a human/digital ecosystem,2016,http://ieeexplore.ieee.org/abstract/document/7450779/,NA
"R Wal, N Sharma, C Mellish, A Robinson…",The role of automated feedback in training and retaining biological recorders for citizen science,2016,http://onlinelibrary.wiley.com/doi/10.1111/cobi.12705/full,NA
"E Bresnan, K Cook, J Hindson, S Hughes…",The Scottish Coastal Observatory 1997-2013 Part 2-Description of Scotland's Coastal Waters,2016,https://www.researchgate.net/profile/Eileen_Bresnan2/publication/312843063_The_Scottish_Coastal_Observatory_1997-2013_Part_2_-_Description_of_Scotland's_coastal_waters/links/5898a813aca2721f0daf35f6/The-Scottish-Coastal-Observatory-1997-2013-Part-2-Description-of-Scotlands-coastal-waters.pdf,NA
"D Bush, R Sieber, G Seiler, M Chandler",The teaching of anthropogenic climate change and earth science via technology-enabled inquiry education,2016,http://www.nagt-jge.org/doi/abs/10.5408/15-127,NA
"P Morais, MA Teodósio","The transatlantic introduction of weakfish Cynoscion regalis (Bloch & Schneider, 1801)(Sciaenidae, Pisces) into Europe",2016,https://www.researchgate.net/profile/Pedro_Morais/publication/308697266_The_transatlantic_introduction_of_weakfish_Cynoscion_regalis_Sciaenidae_Pisces_into_Europe/links/57fa176c08ae8da3ce5a297c/The-transatlantic-introduction-of-weakfish-Cynoscion-regalis-Sciaenidae-Pisces-into-Europe.pdf,NA
"A Sier, D Monteith",The UK Environmental Change Network after twenty years of integrated ecosystem assessment: Key findings and future perspectives,2016,https://www.sciencedirect.com/science/article/pii/S1470160X16300231,NA
"H Acampora, O Lyashevska, JA Van Franeker…",The use of beached bird surveys for marine plastic litter monitoring in Ireland,2016,https://www.sciencedirect.com/science/article/pii/S0141113616301337,NA
"J Eason, P Morten, E Robinson, T Wi",The value of Antarctic research,2016,https://ir.canterbury.ac.nz/handle/10092/14303,NA
"MJO Pocock, DM Evans, C Fontaine, M Harvey…","The visualisation of ecological networks, and their use as a tool for engagement, advocacy and management",2016,https://www.sciencedirect.com/science/article/pii/S0065250415000355,NA
"A Diakou, AC Norte, IL de Carvalho, S Núncio…",Ticks and tick-borne pathogens in wild birds in Greece,2016,https://link.springer.com/article/10.1007/s00436-016-4943-3,NA
"P Lakeman-Fraser, L Gosling, AJ Moffat…",To have your citizen science cake and eat it? Delivering research and outreach through Open Air Laboratories (OPAL),2016,https://bmcecol.biomedcentral.com/articles/10.1186/s12898-016-0065-0,NA
"VM Nguyen, AJ Lynch, N Young, IG Cowx…",To manage inland fisheries is to manage at the social-ecological watershed scale,2016,https://www.sciencedirect.com/science/article/pii/S030147971630411X,NA
"L Montgomery, J Seys, J Mees","To pee, or not to pee: a review on envenomation and treatment in European jellyfish species",2016,http://www.mdpi.com/1660-3397/14/7/127,NA
"M Michael, D Lupton",Toward a manifesto for the 'public understanding of big data',2016,http://journals.sagepub.com/doi/abs/10.1177/0963662515609005,NA
"P Mooney, M Minghini, M Laakso, V Antoniou…",Towards a protocol for the collection of VGI vector data,2016,http://www.mdpi.com/2220-9964/5/11/217,NA
"MEK Evans, C Merow, S Record, SM McMahon…",Towards process-based range modeling of many species,2016,https://www.sciencedirect.com/science/article/pii/S016953471630132X,NA
"TF Siew, T Aenis, JH Spangenberg, A Nauditt…",Transdisciplinary research in support of land and water management in China and Southeast Asia: evaluation of four research projects,2016,https://link.springer.com/article/10.1007/s11625-016-0378-0,NA
"G Evans, L Phelan",Transition to a post-carbon society: Linking environmental justice and just transition discourses,2016,https://www.sciencedirect.com/science/article/pii/S0301421516302300,NA
"E Bonsignore, D Hansen, A Pellicone, J Ahn…","Traversing transmedia together: Co-designing an educational alternate reality game for teens, with teens",2016,https://dl.acm.org/citation.cfm?id=2930712,NA
"BP Nunes, T Nurmikko-Fuller, GR Lopes…",Treasure Explorers--A Game as a Diagnostic Assessment Tool,2016,http://ieeexplore.ieee.org/abstract/document/7756962/,NA
