title,author,documentURL,database,year,search_venue
The effectiveness of protected areas in the conservation of species with changing geographical ranges,"Gillingham, Phillipa K;Bradbury, Richard B;Roy, David B;Anderson, Barbara J;Baxter, John M;Bourn, Nigel A D;Crick, Humphrey Q P;Findon, Richard A;Fox, Richard;Franco, Aldina;Hill, Jane K;Hodgson, Jenny A;Holt, Alison R;Morecroft, Mike D;O'Hanlon, Nina J;Oliver, Tom H;Pearce-Higgins, James W;Procter, Deborah A;Thomas, Jeremy A;Walker, Kevin J;Walmsley, Clive A;Wilson, Robert J;Thomas, Chris D",https://search.proquest.com/docview/1688990446?accountid=14507,SciTech Premium Collection,2015,ProQuest
"Air pollution and its effects on lichens, bryophytes, and lichen-feeding Lepidoptera: Review and evidence from biological records","Pescott, Oliver L;August, Tom A;Botham, Marc S;Simkin, Janet M;Randle, Zoe;Dore, Anthony J",https://search.proquest.com/docview/1692012931?accountid=14507,SciTech Premium Collection,2015,ProQuest
Plant hybrids in the wild: Evidence from biological recording,"Preston, Christopher D;Pearman, David A",https://search.proquest.com/docview/1692013677?accountid=14507,SciTech Premium Collection,2015,ProQuest
On the Potential of Surfers to Monitor Environmental Indicators in the Coastal Zone,"Brewin, Robert J W;Lee de Mora;Jackson, Thomas;Brewin, Thomas G;Shutler, Jamie",https://search.proquest.com/docview/1694958400?accountid=14507,SciTech Premium Collection,2015,ProQuest
The role of ecological interactions in determining species ranges and range changes,"Stewart, Alan J A;Bantock, Tristan M;BjÃ¶rn C. Beckmann;Botham, Marc S;Hubble, David;Roy, David B",https://search.proquest.com/docview/1746323914?accountid=14507,SciTech Premium Collection,2015,ProQuest
The contribution of volunteer recorders to our understanding of biological invasions,"Roy, Helen E;Rorke, Steph L;BjÃ¶rn Beckmann;Booy, Olaf;Botham, Marc S;Brown, Peter M J;Harrower, Colin;Noble, David;Sewell, Jack;Walker, Kevin",https://search.proquest.com/docview/1746325430?accountid=14507,SciTech Premium Collection,2015,ProQuest
Regional vegetation change and implications for local conservation: An example from West Cornwall (United Kingdom),"Kosanic, A;Anderson, K;C.H. FrÃ¨re;Harrison, S",https://search.proquest.com/docview/2000408799?accountid=14507,SciTech Premium Collection,2015,ProQuest
Harry Potter owls fly in for Duthie Park fun day,NA,https://search.proquest.com/docview/1695779236?accountid=14507,"Accounting, Tax & Banking Collection,European Newsstream",2015,ProQuest
Mapping species distributions: a comparison of skilled naturalist and lay citizen science recording.,"van der Wal, René;Anderson, Helen;Robinson, Annie;Sharma, Nirwan;Mellish, Chris;Roberts, Stuart;Darvill, Ben;Siddharthan, Advaith",https://search.proquest.com/docview/1728257658?accountid=14507,SciTech Premium Collection,2015,ProQuest
Pathways through the Landscape in a Changing Climate: The Role of Landscape Structure in Facilitating Species Range Expansion through an Urbanised Region,"Gilchrist, Anna;Barker, Adam;Handley, John F",https://search.proquest.com/docview/1762356482?accountid=14507,SciTech Premium Collection,2016,ProQuest
"Acitizen science approach to monitoring migratory lampreys under the Water framework Directive, with some new accounts of sea lampreys (Petromyzon marinus) from south west Scotland","O'Reilly, M;Nowacki, S;Elliott, M",https://search.proquest.com/docview/1855077633?accountid=14507,SciTech Premium Collection,2016,ProQuest
"Assessing species' habitat associations from occurrence records, standardised monitoring data and expert opinion: A test with British butterflies","Redhead, J W;Fox, R;Brereton, T;Oliver, T H",https://search.proquest.com/docview/1817827260?accountid=14507,SciTech Premium Collection,2016,ProQuest
Family fun in Duthie Park this Sunday,NA,https://search.proquest.com/docview/1804578699?accountid=14507,European Newsstream,2016,ProQuest
"The Cosmic Zoo: The (Near) Inevitability of the Evolution of Complex, Macroscopic Life","Bains, William;Schulze-Makuch, Dirk",https://search.proquest.com/docview/1803830924?accountid=14507,SciTech Premium Collection,2016,ProQuest
Patterns of contribution to citizen science biodiversity projects increase understanding of volunteers' recording behaviour,"Boakes, Elizabeth H;Gliozzo, Gianfranco;Seymour, Valentine;Harvey, Martin;Smith, Chloë;Roy, David B;Haklay, Muki",https://search.proquest.com/docview/1899072699?accountid=14507,SciTech Premium Collection,2016,ProQuest
Patterns of contribution to citizen science biodiversity projects increase understanding of volunteers' recording behaviour.,"Boakes, Elizabeth H;Gliozzo, Gianfranco;Seymour, Valentine;Harvey, Martin;Smith, Chloë;Roy, David B;Haklay, Muki",https://search.proquest.com/docview/1819430422?accountid=14507,SciTech Premium Collection,2016,ProQuest
Pollen and spores as biological recorders of past ultraviolet irradiance,"Jardine, Phillip E;Fraser, Wesley T;Lomax, Barry H;Sephton, Mark A;Shanahan, Timothy M;Miller, Charlotte S;Gosling, William D",https://search.proquest.com/docview/1899367743?accountid=14507,SciTech Premium Collection,2016,ProQuest
The role of historical environmental information in perceptions and management of an urban river,"Wright, Victoria",https://search.proquest.com/docview/1985650894?accountid=14507,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I",2017,ProQuest
A national-scale assessment of climate change impacts on species: Assessing the balance of risks and opportunities for multiple taxa,"Pearce-Higgins, James W;Beale, Colin M;Oliver, Tom H;August, Tom A;Carroll, Matthew;Massimino, Dario;Ockendon, Nancy;Savage, Joanne;Wheatley, Christopher J;Ausden, Malcolm A;Bradbury, Richard B;Duffield, Simon J;Macgregor, Nicholas A;McClean, Colin J;Morecroft, Michael D;Thomas, Chris D;Watts, Olly;BjÃ¶rn C. Beckmann;Fox, Richard;Roy, Helen E;Sutton, Peter G;Walker, Kevin J;Humphrey Q.P. Crick",https://search.proquest.com/docview/2000414936?accountid=14507,SciTech Premium Collection,2017,ProQuest
"Barnsley biological records centre celebrates its 200,000th record",NA,https://search.proquest.com/docview/1863529218?accountid=14507,European Newsstream,2017,ProQuest
Public concern forces re-think over Rotherham database,NA,https://search.proquest.com/docview/1863914256?accountid=14507,European Newsstream,2017,ProQuest
Robin bobs into top 10 in RSPB's garden bird survey,"Bowern, Philip",https://search.proquest.com/docview/1882221170?accountid=14507,European Newsstream,2017,ProQuest
Trust to honour the life of crucial conservationist,NA,https://search.proquest.com/docview/1894830069?accountid=14507,European Newsstream,2017,ProQuest
Evaluating promotional approaches for citizen science biological recording: bumblebees as a group versus Harmonia axyridis as a flagship for ladybirds,"Comont, Richard F;Ashbrook, Kate",https://search.proquest.com/docview/1899817685?accountid=14507,SciTech Premium Collection,2017,ProQuest
Birds of a feather flock together: Insights into starling murmuration behaviour revealed using citizen science,"Goodenough, Anne E;Little, Natasha;Carpenter, William S;Hart, Adam G",https://search.proquest.com/docview/1911176104?accountid=14507,SciTech Premium Collection,2017,ProQuest
Estimating conservation metrics from atlas data: the case of southern African endemic birds,"LEE, ALAN T K ;ALTWEGG, RES;BARNARD, PHOEBE",https://search.proquest.com/docview/1931261938?accountid=14507,SciTech Premium Collection,2017,ProQuest
Bridging biodiversity evidence through data standards: the GBIF perspectives towards molecular data,"Schigel, Dmitry D;Page, Roderic R;Hobern, Donald D",https://search.proquest.com/docview/1992263195?accountid=14507,SciTech Premium Collection,2017,ProQuest
Undersea magic captured by prized diver,"Henderson, Tony",https://search.proquest.com/docview/1966005654?accountid=14507,European Newsstream,2017,ProQuest
Our underwater kingdom,"Henderson, Tony",https://search.proquest.com/docview/1966083663?accountid=14507,European Newsstream,2017,ProQuest
Getting the full picture: Assessing the complementarity of citizen science and agency monitoring data,"Hadj-Hammou, Jeneen;Loiselle, Steven;Ophof, Daniel;Thornhill, Ian",https://search.proquest.com/docview/1973446189?accountid=14507,SciTech Premium Collection,2017,ProQuest
Citizen Science as a Tool in Biological Recording-A Case Study of Ailanthus altissima (Mill.) Swingle,"Sladonja, Barbara;Poljuha, Danijela",https://search.proquest.com/docview/2002776063?accountid=14507,SciTech Premium Collection,2018,ProQuest
The PMIP4 contribution to CMIP6 – Part 1: Overview and over-arching analysis plan,"Kageyama, Masa;Braconnot, Pascale;Harrison, Sandy P;Haywood, Alan M;Jungclaus, Johann H;Otto-Bliesner, Bette L;Peterschmitt, Jean-Yves;Abe-Ouchi, Ayako;Albani, Samuel;Bartlein, Patrick J;Brierley, Chris;Crucifix, Michel;Dolan, Aisling;Fernandez-Donado, Laura;Fischer, Hubertus;Hopcroft, Peter O;Ivanovic, Ruza F;Lambert, Fabrice;Lunt, Daniel J;Mahowald, Natalie M;Peltier, W Richard;Phipps, Steven J;Roche, Didier M;Schmidt, Gavin A;Tarasov, Lev;Valdes, Paul J;Zhang, Qiong;Zhou, Tianjun",https://search.proquest.com/docview/2014341933?accountid=14507,SciTech Premium Collection,2018,ProQuest
Building essential biodiversity variables (EBVs) of species distribution and abundance at a global scale,"Kissling, W Daniel;Ahumada, Jorge A;Bowser, Anne;Fernandez, Miguel;Fernandez, Néstor;Garcia, Enrique Alonso;Guralnick, Robert P;Isaac, Nick J B;Kelling, Steve;Los, Wouter;McRae, Louise;Mihoub, Jean-Baptiste;Obst, Matthias;Santamaria, Monica;Skidmore, Andrew K;Williams, Kristen J;Agosti, Donat;Amariles, Daniel;Arvanitidis, Christos;Bastin, Lucy;De Leo, Francesca;Egloff, Willi;Elith, Jane;Hobern, Donald;Martin, David;Pereira, Henrique M;Pesole, Graziano;Peterseil, Johannes;Saarenmaa, Hannu;Schigel, Dmitry;Schmeller, Dirk S;Segata, Nicola;Turak, Eren;Uhlir, Paul F;Wee, Brian;Hardisty, Alex R",https://search.proquest.com/docview/1987603927?accountid=14507,SciTech Premium Collection,2018,ProQuest
» Fern talk NORTH Wales [...],NA,https://search.proquest.com/docview/2001670698?accountid=14507,European Newsstream,2018,ProQuest
» Fern talk,NA,https://search.proquest.com/docview/2001674405?accountid=14507,European Newsstream,2018,ProQuest
A role for artificial night-time lighting in long-term changes in populations of 100 widespread macro-moths in UK and Ireland: a citizen-science study,"John Fawcett Wilson;Baker, David;Cheney, Janet;Cook, Mike;Ellis, Martin;Freestone, Roger;Gardner, David;Geen, Graham;Hemming, Robin;Hodgers, Don;Howarth, Stephen;Jupp, Ade;Lowe, Norman;Orridge, Steve;Shaw, Mark;Smith, Bob;Turner, Audrey;Young, Heather",https://search.proquest.com/docview/2007693940?accountid=14507,SciTech Premium Collection,2018,ProQuest
Working with gardeners to identify potential invasive ornamental garden plants: testing a citizen science approach,"Dehnen-Schmutz, Katharina;Conroy, Judith",https://search.proquest.com/docview/2037260227?accountid=14507,SciTech Premium Collection,2018,ProQuest
Brazilian Microbiome Project: Revealing the Unexplored Microbial Diversity--Challenges and Prospects,"Pylro, Victor Satler;Roesch, Luiz Fernando; Wurdig;Ortega, José Miguel;Do Amaral, Alexandre Morais;Tótola, Marcos Rogério;Hirsch, Penny Ruth;Rosado, Alexandre Soares;Góes-neto, Aristóteles;Da Costa Da Silva, Artur Luiz;Rosa, Carlos Augusto;Morais, Daniel Kumazawa;Andreote, Fernando Dini;Duarte, Gabriela Frois;de Melo, Itamar Soares;Seldin, Lucy;Lambais, Márcio Rodrigues;Hungria, Mariangela;Peixoto, Raquel Silva;Kruger, Ricardo Henrique;Tsai, Siu Mui;Azevedo, Vasco",https://search.proquest.com/docview/1498894020?accountid=14507,SciTech Premium Collection,2014,ProQuest
Bird Atlas makes for great reading [Edition 3],"Hurley, Jim",https://search.proquest.com/docview/1502580125?accountid=14507,European Newsstream,2014,ProQuest
Secretarybird Sagittarius serpentarius Population Trends and Ecology: Insights from South African Citizen Science Data,"Hofmeyr, Sally D;Symes, Craig T;Underhill, Leslie G",https://search.proquest.com/docview/1522948329?accountid=14507,SciTech Premium Collection,2014,ProQuest
The Invisible Prevalence of Citizen Science in Global Research: Migratory Birds and Climate Change,"Cooper, Caren B;Shirk, Jennifer;Zuckerberg, Benjamin",https://search.proquest.com/docview/1559783648?accountid=14507,SciTech Premium Collection,2014,ProQuest
Shelducks and waders in decline,NA,https://search.proquest.com/docview/1561491078?accountid=14507,European Newsstream,2014,ProQuest
"Anatomy of Colymbosaurus megadeirus (Reptilia, Plesiosauria) from the Kimmeridge Clay Formation of the U.K., and High Diversity Among Late Jurassic Plesiosauroids","Benson, Roger BJ;Bowdler, Timothy",https://search.proquest.com/docview/1808372274?accountid=14507,SciTech Premium Collection,2014,ProQuest
Mollusks on Brazilian postage stamps,"Salvador, Rodrigo B;Ribeiro, Guilherme;Cavallari, Daniel C",https://search.proquest.com/docview/1768580950?accountid=14507,SciTech Premium Collection,2015,ProQuest
Trait-based analysis of decline in plant species ranges during the 20th century: a regional comparison between the UK and Estonia.,"Laanisto, Lauri;Sammul, Marek;Kull, Tiiu;Macek, Petr;Hutchings, Michael J",https://search.proquest.com/docview/1826615997?accountid=14507,SciTech Premium Collection,2015,ProQuest
An avian jetsetter from Suffolk has helped scientists... [Derived Headline],PR Script Managers,https://search.proquest.com/docview/1691196103?accountid=14507,European Newsstream,2015,ProQuest
Recent trends in UK insects that inhabit early successional stages of ecosystems,"Thomas, Jeremy A;Edwards, Mike;Simcox, David J;Powney, Gary D;August, Tom A;Isaac, Nick J B",https://search.proquest.com/docview/1688990390?accountid=14507,SciTech Premium Collection,2015,ProQuest
Geographical range margins of many taxonomic groups continue to shift polewards,"Mason, Suzanna C;Palmer, Georgina;Fox, Richard;Gillings, Simon;Hill, Jane K;Thomas, Chris D;Oliver, Tom H",https://search.proquest.com/docview/1688990431?accountid=14507,SciTech Premium Collection,2015,ProQuest
Challenges for biodiversity monitoring using citizen science in transitioning social-ecological systems,"Loos, Jacqueline;Horcea-Milcu, Andra I;Kirkland, Paul;Hartel, Tibor;Osváth-Ferencz, Márta;Fischer, Joern",https://search.proquest.com/docview/2000139066?accountid=14507,SciTech Premium Collection,2015,ProQuest
Experts unveil all-Ireland plan to put the buzz back into our bee population,"Stewart, Linda",https://search.proquest.com/docview/1712725730?accountid=14507,European Newsstream,2015,ProQuest
Red List assessments of East African chameleons: a case study of why we need experts,"Hjarding, Angelique;Tolley, Krystal A;Burgess, Neil D",https://search.proquest.com/docview/1709262543?accountid=14507,SciTech Premium Collection,2015,ProQuest
Can Observation Skills of Citizen Scientists Be Estimated Using Species Accumulation Curves?,"Kelling, Steve;Johnston, Alison;Hochachka, Wesley M;Iliff, Marshall;Fink, Daniel;Gerbracht, Jeff;Lagoze, Carl;La Sorte, Frank A;Moore, Travis;Wiggins, Andrea;Weng-Keen, Wong;Wood, Chris;Yu, Jun",https://search.proquest.com/docview/1721147983?accountid=14507,SciTech Premium Collection,2015,ProQuest
"Two-spot ladybird (Adalia bipunctata) in Armagh, Sligo, Galway and Dublin","Cotton, Don;Dunleavy, Jean;Govier, Robin",https://search.proquest.com/docview/1768568913?accountid=14507,SciTech Premium Collection,2015,ProQuest
Taking a 'Big Data' approach to data quality in a citizen science project,"Kelling, Steve;Fink, Daniel;La Sorte, Frank A;Johnston, Alison;Bruns, Nicholas E;Hochachka, Wesley M",https://search.proquest.com/docview/1727605601?accountid=14507,"ABI/INFORM Global,SciTech Premium Collection,Social Science Premium Collection",2015,ProQuest
An Analysis of Citizen Science Based Research: Usage and Publication Patterns,"Follett, Ria;Strezov, Vladimir",https://search.proquest.com/docview/1735663802?accountid=14507,SciTech Premium Collection,2015,ProQuest
Still time to submit data to atlas database,NA,https://search.proquest.com/docview/1737910072?accountid=14507,European Newsstream,2015,ProQuest
The OPAL bugs count survey: exploring the effects of urbanisation and habitat characteristics using citizen science,"Bates, Adam J;Lakeman Fraser, Poppy;Robinson, Lucy;Tweddle, John C;Sadler, Jon P;West, Sarah E;Norman, Simon;Batson, Martin;Davies, Linda",https://search.proquest.com/docview/1768573704?accountid=14507,SciTech Premium Collection,2015,ProQuest
"Citizen science: a new approach to advance ecology, education, and conservation","Kobori, Hiromi;Dickinson, Janis L;Washitani, Izumi;Sakurai, Ryo;Amano, Tatsuya;Komatsu, Naoya;Kitamura, Wataru;Takagawa, Shinichi;Koyama, Kazuo;Ogawara, Takao;Miller-Rushing, A J",https://search.proquest.com/docview/1762375025?accountid=14507,SciTech Premium Collection,2016,ProQuest
"Evaluating citizen science for natural resource monitoring: Participant motivations, attitude and behavioral change, and the influence of natural resource characteristics on program potential","Chase, Sarah K.",https://search.proquest.com/docview/1809118236?accountid=14507,"ProQuest Dissertations & Theses A&I,SciTech Premium Collection",2016,ProQuest
"The Priolo Atlas: A citizen science-based census initiative for supporting Pyrrhula murina habitat conservation and restoration policies in SÃ£o Miguel Island (Azores, Portugal)","Gil, Artur;Ceia, Ricardo;Coelho, Rúben;TeodÓsio, Joaquim;Sampaio, Hugo;Veríssimo, Carla;Heleno, Ruben;Ramos, Jaime;TimÓteo, Sérgio",https://search.proquest.com/docview/2000338575?accountid=14507,SciTech Premium Collection,2016,ProQuest
"'Mark Carwardine’s Guide to Whale Watching: Britain and Europe' by Mark Carwardine, 2016. [book review]","John, R",https://search.proquest.com/docview/2011602007?accountid=14507,SciTech Premium Collection,2016,ProQuest
Citizen science reveals huge loss of bird life,"Bowern, Philip",https://search.proquest.com/docview/1761210853?accountid=14507,European Newsstream,2016,ProQuest
Evaluating β Diversity as a Surrogate for Species Representation at Fine Scale,"Beier, Paul;Albuquerque, Fábio",https://search.proquest.com/docview/1770505151?accountid=14507,SciTech Premium Collection,2016,ProQuest
Focal Plant Observations as a Standardised Method for Pollinator Monitoring: Opportunities and Limitations for Mass Participation Citizen Science,"Roy, Helen E;Baxter, Elizabeth;Saunders, Aoine;Pocock, Michael J O",https://search.proquest.com/docview/1774172811?accountid=14507,SciTech Premium Collection,2016,ProQuest
"Magasella sanguinea (Leach, 1814) and Magasella haurakiensis (Allan, 1931): resolving the taxonomic placement of these endemic New Zealand brachiopods using morphological and molecular traits","Robinson, J H;Donald, K M;Brandt, A J;Lee, DE",https://search.proquest.com/docview/1811902781?accountid=14507,SciTech Premium Collection,2016,ProQuest
Citizen Science and the Urban Ecology of Birds and Butterflies — A Systematic Review,"James Wang Wei;Lee, Benjamin P Y-H;Low, Bing Wen",https://search.proquest.com/docview/1795664531?accountid=14507,SciTech Premium Collection,2016,ProQuest
Differences between urban and rural hedges in England revealed by a citizen science project.,"Gosling, Laura;Sparks, Tim H;Araya, Yoseph;Harvey, Martin;Ansine, Janice",https://search.proquest.com/docview/1807532824?accountid=14507,SciTech Premium Collection,2016,ProQuest
"Surveying the citizen science landscape: an exploration of the design, delivery and impact of citizen science through the lens of the Open Air Laboratories (OPAL) programme.","Davies, Linda;Fradera, Roger;Riesch, Hauke;Lakeman-Fraser, Poppy",https://search.proquest.com/docview/1807535567?accountid=14507,SciTech Premium Collection,2016,ProQuest
Charity asks for help as cold spring delays NI blackberry harvest,NA,https://search.proquest.com/docview/1808008686?accountid=14507,European Newsstream,2016,ProQuest
Angling for data: Recreational anglers’ records of conger eel (Conger conger) landings from the English Channel between 1990-1991,"Johnson, Magnus L;Wheeler, Philip",https://search.proquest.com/docview/1953811577?accountid=14507,SciTech Premium Collection,2016,ProQuest
Practitioners' viewpoints on citizen science in water management: a case study in Dutch regional water resource management,"Minkman, Ellen;van der Sanden, Maarten;Rutten, Martine",https://search.proquest.com/docview/1856576169?accountid=14507,SciTech Premium Collection,2017,ProQuest
Designing task workflows to ensure the best scientific outcomes in citizen science,"Sprinks, James C.",https://search.proquest.com/docview/2001156696?accountid=14507,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I",2017,ProQuest
Playground lookouts for endangered birds,"Harrison, Jody",https://search.proquest.com/docview/1856200783?accountid=14507,European Newsstream,2017,ProQuest
Cartilaginous fish among our most endangered,"Hurley, Jim",https://search.proquest.com/docview/1870492848?accountid=14507,European Newsstream,2017,ProQuest
"Citizens, ask not what science can do for you",Aoibhinn Ni Shuilleabhain,https://search.proquest.com/docview/1870775002?accountid=14507,European Newsstream,2017,ProQuest
"The global avian invasions atlas, a database of alien bird distributions worldwide","Dyer, Ellie E;Redding, David W;Blackburn, Tim M",https://search.proquest.com/docview/1884214685?accountid=14507,SciTech Premium Collection,2017,ProQuest
Sighting of Red Admiral flags up the start of spring,"Simpson, Alan",https://search.proquest.com/docview/1878357510?accountid=14507,European Newsstream,2017,ProQuest
Observed and dark diversity of alien plant species in Europe: estimating future invasion risk,"Ronk, Argo;Szava-kovats, Robert;Zobel, Martin;Pärtel, Meelis",https://search.proquest.com/docview/1877046539?accountid=14507,SciTech Premium Collection,2017,ProQuest
The diversity and evolution of ecological and environmental citizen science,"Pocock, Michael J O;Tweddle, John C;Savage, Joanna;Robinson, Lucy D;Roy, Helen E",https://search.proquest.com/docview/1883868543?accountid=14507,SciTech Premium Collection,2017,ProQuest
Contributions to conservation outcomes by natural history museum-led citizen science: Examining evidence and next steps,"Ballard, Heidi L;Robinson, Lucy D;Young, Alison N;Pauly, Gregory B;Higgins, Lila M;Johnson, Rebecca F;Tweddle, John C",https://search.proquest.com/docview/2000218787?accountid=14507,SciTech Premium Collection,2017,ProQuest
Is citizen science an open science in the case of biodiversity observations?,"Groom, Quentin;Weatherdon, Lauren;Geijzendorffer, Ilse R",https://search.proquest.com/docview/2000322357?accountid=14507,SciTech Premium Collection,2017,ProQuest
"Quantifying full phenological event distributions reveals simultaneous advances, temporal stability and delays in spring and autumn migration timing in long-distance migratory birds","Miles, Will T S;Bolton, Mark;Davis, Peter;Roy, Dennis;Broad, Roger;Robertson, Iain;Riddiford, Nick J;Harvey, Paul V;Riddington, Roger;Shaw, Deryk N;Parnaby, David;Reid, Jane M",https://search.proquest.com/docview/2020876774?accountid=14507,SciTech Premium Collection,2017,ProQuest
The Evidence Information Service as a new platform for supporting evidence-based policy: a consultation of UK parliamentarians,"Lawrence, Natalia S;Chambers, Jemma C;Morrison, Sinead M;Bestmann, Sven;O'Grady, Gerard;Chambers, Christopher D;Kythreotis, Andrew P",https://search.proquest.com/docview/1947587780?accountid=14507,Social Science Premium Collection,2017,ProQuest
Column: The power of citizen science,NA,https://search.proquest.com/docview/1900304717?accountid=14507,European Newsstream,2017,ProQuest
Volunteer network to probe marine life this summer [Northeast Region],NA,https://search.proquest.com/docview/1907185498?accountid=14507,European Newsstream,2017,ProQuest
Volunteer network to probe marine life this summer,NA,https://search.proquest.com/docview/1907185603?accountid=14507,European Newsstream,2017,ProQuest
Revealed: 10 worst air pollution hotspots; *Citizen Science investigation reveals air pollution in every region of the UK*,NA,https://search.proquest.com/docview/1915523500?accountid=14507,"Accounting, Tax & Banking Collection,European Newsstream",2017,ProQuest
Atlas data indicate forest dependent bird species declines in South Africa,"COOPER, TESSA J G ;WANNENBURGH, ANDREW M ;CHERRY, MICHAEL I",https://search.proquest.com/docview/1931262534?accountid=14507,SciTech Premium Collection,2017,ProQuest
Utilization of photographs taken by citizens for estimating bumblebee distributions,"Suzuki-ohno, Yukari;Yokoyama, Jun;Nakashizuka, Tohru;Kawata, Masakado",https://search.proquest.com/docview/1953983333?accountid=14507,SciTech Premium Collection,2017,ProQuest
UK citizen- science scheme to trap wasps criticized,"Gewin, Virginia",https://search.proquest.com/docview/2002983564?accountid=14507,SciTech Premium Collection,2017,ProQuest
Using citizen science butterfly counts to predict species population trends.,"Dennis, Emily B;Morgan, Byron J T;Brereton, Tom M;Roy, David B;Fox, Richard",https://search.proquest.com/docview/1896041996?accountid=14507,SciTech Premium Collection,2017,ProQuest
ALTITUDINAL RANGE SHIFTS OF BIRDS AT THE SOUTHERN PERIPHERY OF THE BOREAL FOREST: 40 YEARS OF CHANGE IN THE ADIRONDACK MOUNTAINS,"Kirchman, Jeremy J;Van Keuren, Alison E",https://search.proquest.com/docview/2051207119?accountid=14507,SciTech Premium Collection,2017,ProQuest
"Citizen science identifies the effects of nitrogen deposition, climate and tree species on epiphytic lichens across the UK.","Welden, N A;Wolseley, P A;Ashmore, M R",https://search.proquest.com/docview/1945717934?accountid=14507,SciTech Premium Collection,2018,ProQuest
A Democratization of Approaches: Integrating Citizen Science Into the Museum Visitor Experience,"Mutascio, Holly E.",https://search.proquest.com/docview/2049732920?accountid=14507,ProQuest Dissertations & Theses A&I,2018,ProQuest
Species identification by conservation practitioners using online images: accuracy and agreement between experts,"Austen, Gail E;Bindemann, Markus;Griffiths, Richard A;Roberts, David L",https://search.proquest.com/docview/1991078666?accountid=14507,SciTech Premium Collection,2018,ProQuest
Dialects of an invasive songbird are preserved in its invaded but not native source range,"Pipek, Pavel;Petruskova, Tereza;Petrusek, Adam;Diblikova, Lucie;Eaton, Mark A;Pysek, Petr",https://search.proquest.com/docview/1992950815?accountid=14507,SciTech Premium Collection,2018,ProQuest
